,Regione,Value
0,Abruzzo,3.1322373910749177
1,Basilicata,0.4303376418340957
2,Calabria,2.611306114248084
3,Campania,10.438538975641253
4,Emilia-Romagna,8.799988273594208
5,Friuli-Venezia Giulia,1.8819093734738692
6,Lazio,13.566629223204268
7,Liguria,1.9667470592819865
8,Lombardia,16.070717377174837
9,Marche,2.7894545290739785
10,Molise,0.50366342927297
11,Piemonte,6.267906900918306
12,Provincia Autonoma Bolzano / Bozen,0.26409438898633086
13,Provincia Autonoma Trento,1.040003489320748
14,Puglia,5.561891469254294
15,Sardegna,1.9514812810097295
16,Sicilia,6.837030845452406
17,Toscana,6.33847984309497
18,Trentino Alto Adige / Südtirol,1.304097878307079
19,Umbria,1.6462729692761018
20,Valle d'Aosta / Vallée d'Aoste,0.07547086166916805
21,Veneto,6.521740684836399
