,Territorio,Internet,Biblioteche,Occupazione,Punteggio
0,Piemonte,"1,3","420,0","73,496319","143,392638"
2,Valle D'Aosta,"2,5","0,0","73,230897","131,461794"
3,Liguria,"2,7","99,0","68,283054","121,356108"
4,Lombardia,"1,5","523,0","75,120614","146,471228"
8,Veneto,"1,9","328,0","76,582589","145,045178"
9,Friuli Venezia Giulia,"1,0","0,0","76,160278","146,320556"
10,Emilia Romagna,"1,6","0,0","75,725863","141,851726"
11,Toscana,"2,4","789,0","71,010175","135,51035000000002"
12,Umbria,"3,2","0,0","69,224194","119,24838799999999"
13,Marche,"3,3","104,0","69,959209","121,15841800000001"
14,Lazio,"3,2","1982,0","62,384818","125,389636"
15,Abruzzo,"7,1","0,0","62,377738","82,15547600000001"
16,Molise,"1,8","0,0","49,905076","89,010152"
17,Campania,"1,4","828,0","42,723895","85,32779"
18,Puglia,"1,0","230,0","48,193838","92,687676"
19,Basilicata,"0,4","313,0","53,024305","106,77861"
20,Calabria,"3,2","65,0","43,742122","68,934244"
21,Sicilia,"0,8","0,0","40,042637","75,285274"
22,Sardegna,"2,0","238,0","56,705942","103,791884"
0,Trentino Alto Adige,"4,3999999999999995","0,0","75,906812","125,413624"
